date,time,weather_humidity,weather_temperature,soil_moisture,water_level,soil_temperature,soil_conductivity,soil_ph,soil_nitrogen,soil_phosporus,soil_potasium
06/06/2024,19:53:02,weather_humidity:42.00,weather_temperature:30.00,soil_moisture:100.00,water_level:23.34,temperature:27.50,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:53:08,weather_humidity:42.00,weather_temperature:30.00,soil_moisture:100.00,water_level:23.34,temperature:27.50,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:54:02,weather_humidity:42.00,weather_temperature:30.00,soil_moisture:0.00,water_level:23.34,temperature:24.70,conductivity:0,ph:6.00,nitrogen:0,phosporus:0,potasium:0
06/06/2024,19:54:08,weather_humidity:42.00,weather_temperature:30.00,soil_moisture:0.00,water_level:23.34,temperature:24.50,conductivity:0,ph:6.50,nitrogen:0,phosporus:0,potasium:0
06/06/2024,19:55:03,weather_humidity:43.00,weather_temperature:30.00,soil_moisture:100.00,water_level:23.34,temperature:24.00,conductivity:123,ph:6.50,nitrogen:0,phosporus:16,potasium:8
06/06/2024,19:55:09,weather_humidity:42.00,weather_temperature:30.00,soil_moisture:100.00,water_level:23.34,temperature:26.60,conductivity:217,ph:5.20,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:56:06,weather_humidity:43.00,weather_temperature:30.00,soil_moisture:100.00,water_level:16.23,temperature:27.40,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:57:05,weather_humidity:42.00,weather_temperature:30.00,soil_moisture:0.00,water_level:16.37,temperature:27.10,conductivity:0,ph:6.00,nitrogen:0,phosporus:0,potasium:0
06/06/2024,19:57:11,weather_humidity:42.00,weather_temperature:30.00,soil_moisture:0.00,water_level:16.37,temperature:25.70,conductivity:0,ph:7.00,nitrogen:0,phosporus:0,potasium:0
06/06/2024,19:58:06,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:26.30,conductivity:217,ph:5.60,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:59:06,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:25.10,water_level:16.37,temperature:22.50,conductivity:123,ph:6.70,nitrogen:0,phosporus:16,potasium:8
06/06/2024,20:00:07,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:21.01,temperature:27.30,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:01:06,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:23.34,temperature:27.30,conductivity:217,ph:4.70,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:02:02,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:23.34,temperature:27.30,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:02:08,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:23.34,temperature:27.30,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:03:02,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:23.34,temperature:27.30,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:03:08,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:23.34,temperature:27.30,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:04:03,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:23.34,temperature:27.30,conductivity:217,ph:5.20,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:05:02,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:23.34,temperature:27.30,conductivity:217,ph:5.20,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:05:08,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:23.34,temperature:27.30,conductivity:217,ph:5.20,nitrogen:60,phosporus:185,potasium:178
