date,time,weather_humidity,weather_temperature,soil_moisture,water_level,soil_temperature,soil_conductivity,soil_ph,soil_nitrogen,soil_phosporus,soil_potasium
06/06/2024,20:07:06,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:23.34,temperature:27.30,conductivity:217,ph:5.20,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:08:03,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:14.05,temperature:27.30,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:08:09,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:0.00,water_level:25.66,temperature:27.20,conductivity:0,ph:5.10,nitrogen:0,phosporus:0,potasium:0
06/06/2024,20:09:04,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.30,conductivity:217,ph:4.70,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:09:10,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.30,conductivity:217,ph:4.70,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:10:05,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:0.00,water_level:18.69,temperature:26.90,conductivity:0,ph:6.40,nitrogen:0,phosporus:0,potasium:0
06/06/2024,20:11:05,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:0.00,water_level:6.94,temperature:23.60,conductivity:0,ph:7.10,nitrogen:0,phosporus:0,potasium:0
06/06/2024,20:12:04,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:18.69,temperature:27.20,conductivity:217,ph:4.70,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:12:08,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:7.08,temperature:27.20,conductivity:217,ph:4.70,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:14:02,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.20,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:14:08,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.20,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:15:04,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.20,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:15:10,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.20,conductivity:217,ph:5.20,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:16:05,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.20,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:16:11,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.20,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:17:06,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.20,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:18:06,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.20,conductivity:217,ph:4.70,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:19:06,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.20,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:20:05,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.70,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:20:10,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.70,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:21:04,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:21:10,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
