date,time,weather_humidity,weather_temperature,soil_moisture,water_level,soil_temperature,soil_conductivity,soil_ph,soil_nitrogen,soil_phosporus,soil_potasium
06/06/2024,20:48:06,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.00,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:49:05,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.00,conductivity:217,ph:4.70,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:49:10,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:50:04,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.00,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:50:09,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.00,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:51:04,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.00,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:51:11,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.00,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:52:05,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:52:11,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.00,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:53:06,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:54:06,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.00,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:55:06,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:56:05,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.00,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:57:09,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:0.00,water_level:18.69,temperature:24.10,conductivity:0,ph:7.20,nitrogen:0,phosporus:0,potasium:0
06/06/2024,20:58:03,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:14.05,temperature:27.00,conductivity:216,ph:4.60,nitrogen:60,phosporus:184,potasium:178
06/06/2024,20:58:08,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.00,conductivity:216,ph:4.60,nitrogen:60,phosporus:184,potasium:178
06/06/2024,20:59:03,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.00,conductivity:216,ph:4.50,nitrogen:60,phosporus:184,potasium:178
06/06/2024,20:59:10,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.00,conductivity:216,ph:4.50,nitrogen:60,phosporus:184,potasium:178
06/06/2024,21:00:04,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.10,conductivity:216,ph:4.50,nitrogen:60,phosporus:184,potasium:178
06/06/2024,21:00:10,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.00,conductivity:216,ph:4.50,nitrogen:60,phosporus:184,potasium:178
06/06/2024,21:01:05,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.00,conductivity:216,ph:4.60,nitrogen:60,phosporus:184,potasium:178
06/06/2024,21:01:11,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.10,conductivity:216,ph:4.60,nitrogen:60,phosporus:184,potasium:178
06/06/2024,21:02:01,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.00,conductivity:217,ph:4.60,nitrogen:60,phosporus:185,potasium:178
06/06/2024,21:02:07,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.00,conductivity:217,ph:4.60,nitrogen:60,phosporus:185,potasium:178
06/06/2024,21:03:04,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.10,conductivity:216,ph:4.70,nitrogen:60,phosporus:184,potasium:178
06/06/2024,21:03:10,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.00,conductivity:216,ph:4.70,nitrogen:60,phosporus:184,potasium:178
06/06/2024,21:04:05,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.10,conductivity:216,ph:4.70,nitrogen:60,phosporus:184,potasium:178
06/06/2024,21:05:01,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.00,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,21:05:07,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:25.66,temperature:27.10,conductivity:216,ph:4.90,nitrogen:60,phosporus:184,potasium:178
